target_id,human_symbol,status,mapping_ambiguous,mouse_symbols,mgi_accession_ids,phenotyping_data_available,distinct_significant_mp_terms_sum,successful_statistical_results,distinct_tested_parameters_max,distinct_tested_procedures_max,homozygous_tested_procedures,eligible_observed_zero,impc_release,release_date
1719,FCGR3A,mapped_no_phenotyping,False,Fcgr4,MGI:2179523,False,0,0,0,0,0,False,DR24,2026-03-16
18805,FCGRT,mapped_no_phenotyping,False,Fcgrt,MGI:103017,False,0,0,0,0,0,False,DR24,2026-03-16
1118,FGF1,mapped_no_phenotyping,False,Fgf1,MGI:95515,False,0,0,0,0,0,False,DR24,2026-03-16
1141,FGF21,mapped_no_phenotyping,False,Fgf21,MGI:1861377,False,0,0,0,0,0,False,DR24,2026-03-16
1849,FGFR2,mapped_no_phenotyping,False,Fgfr2,MGI:95523,False,0,0,0,0,0,False,DR24,2026-03-16
3397,FGFR3,mapped_no_phenotyping,False,Fgfr3,MGI:95524,False,0,0,0,0,0,False,DR24,2026-03-16
104,FLT1,mapped_no_phenotyping,False,Flt1,MGI:95558,False,0,0,0,0,0,False,DR24,2026-03-16
18936,GABBR1,mapped_no_phenotyping,False,Gabbr1,MGI:1860139,False,0,0,0,0,0,False,DR24,2026-03-16
367,GABRA1,mapped_no_phenotyping,False,Gabra1,MGI:95613,False,0,0,0,0,0,False,DR24,2026-03-16
365,GABRB3,mapped_no_phenotyping,False,Gabrb3,MGI:95621,False,0,0,0,0,0,False,DR24,2026-03-16
18221,GBP1,no_mouse_mapping,False,,,False,0,0,0,0,0,False,DR24,2026-03-16
1161,GDF15,phenotyped_no_significant_phenotype,False,Gdf15,MGI:1346047,True,0,227,227,18,18,True,DR24,2026-03-16
1341,GGT5,mapped_no_phenotyping,False,Ggt5,MGI:1346063,False,0,0,0,0,0,False,DR24,2026-03-16
3968,GHSR,phenotyped_no_significant_phenotype,False,Ghsr,MGI:2441906,True,0,270,255,23,23,True,DR24,2026-03-16
4120,GLA,phenotyped_no_significant_phenotype,False,Gla,MGI:1347344,True,0,326,163,12,12,False,DR24,2026-03-16
3823,GLP2R,mapped_no_phenotyping,False,Glp2r,MGI:2136733,False,0,0,0,0,0,False,DR24,2026-03-16
6608,GMFB,mapped_no_phenotyping,False,Gmfb,MGI:1927133,False,0,0,0,0,0,False,DR24,2026-03-16
5594,GNRHR,mapped_no_phenotyping,False,Gnrhr,MGI:95790,False,0,0,0,0,0,False,DR24,2026-03-16
4822,GP5,mapped_no_phenotyping,False,Gp5,MGI:1096363,False,0,0,0,0,0,False,DR24,2026-03-16
20843,GPR119,phenotyped_no_significant_phenotype,False,Gpr119,MGI:2668412,True,0,322,181,19,18,True,DR24,2026-03-16
6176,GRIA4,mapped_no_phenotyping,False,Gria4,MGI:95811,False,0,0,0,0,0,False,DR24,2026-03-16
6513,GRM2,mapped_no_phenotyping,False,Grm2,MGI:1351339,False,0,0,0,0,0,False,DR24,2026-03-16
5013,GRM4,phenotyped_no_significant_phenotype,False,Grm4,MGI:1351341,True,0,156,156,14,14,True,DR24,2026-03-16
6207,GRM5,phenotyped_no_significant_phenotype,False,Grm5,MGI:1351342,True,0,30,30,2,2,False,DR24,2026-03-16
5915,GSC,mapped_no_phenotyping,False,Gsc,MGI:95841,False,0,0,0,0,0,False,DR24,2026-03-16
3298,GSK3B,mapped_no_phenotyping,False,Gsk3b,MGI:1861437,False,0,0,0,0,0,False,DR24,2026-03-16
3,GUCY1A1,mapped_no_phenotyping,False,Gucy1a1,MGI:1926562,False,0,0,0,0,0,False,DR24,2026-03-16
6,GUCY1B1,mapped_no_phenotyping,False,Gucy1b1,MGI:1860604,False,0,0,0,0,0,False,DR24,2026-03-16
